harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
390000000,Sleman,40,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
435000000,Bantul,45,85,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
450000000,Sleman,55,93,3,1,1300,Sebagian,1,SHM - Sertifikat Hak Milik
485000000,Bantul,45,83,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
390000000,Sleman,40,90,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2757000000,Sleman,208,204,10,10,16500,Tak Berperabot,6,SHM - Sertifikat Hak Milik
2505825000,Bantul,150,120,4,4,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
389000000,Sleman,36,75,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
415000000,Sleman,40,72,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1800000000,Sleman,300,217,10,10,2200,Sebagian,5,SHM - Sertifikat Hak Milik
523456000,Bantul,55,105,2,1,1300,Tak Berperabot,1,SHGB - Hak Guna Bangunan
1150000000,Sleman,100,112,4,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
685000090,Sleman,75,120,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
200000000,Sleman,36,77,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1505175000,Sleman,95,139,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1699425000,Sleman,95,143,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
438000049,Sleman,36,100,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
2110500000,Sleman,110,200,4,3,3500,Tak Berperabot,2,SHM - Sertifikat Hak Milik
435000000,Sleman,36,76,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1992745000,Sleman,126,133,4,4,2200,Tak Berperabot,2,SHGB - Hak Guna Bangunan
1900000000,Sleman,125,167,4,2,2200,Sebagian,1,SHM - Sertifikat Hak Milik
980000000,Sleman,75,124,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
4800000000,Sleman,370,400,10,4,2200,Lengkap,10,SHM - Sertifikat Hak Milik
3000000000,Sleman,230,154,5,4,2200,Sebagian,2,SHM - Sertifikat Hak Milik
4800000000,Sleman,390,365,7,5,5500,Sebagian,3,SHM - Sertifikat Hak Milik
2000000000,Sleman,150,147,4,4,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
745000000,Sleman,100,130,3,2,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
800000000,Sleman,80,125,3,2,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
5500000000,Sleman,300,825,7,4,4400,Sebagian,2,SHM - Sertifikat Hak Milik
1500000000,Sleman,288,288,4,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
5200000000,Sleman,513,223,7,8,4400,Sebagian,4,SHM - Sertifikat Hak Milik
3600000000,Sleman,159,204,4,4,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
265000000,Sleman,36,72,2,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
2900000000,Yogyakarta,165,160,10,10,6600,Lengkap,8,SHM - Sertifikat Hak Milik
367000000,Bantul,36,95,3,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
680000000,Sleman,60,103,3,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1218000000,Sleman,80,118,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
860000000,Yogyakarta,65,84,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1500000000,Sleman,100,118,3,2,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
297000000,Bantul,45,84,2,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
357000000,Sleman,36,99,2,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
390000000,Bantul,39,78,2,1,1300,Tak Berperabot,1,SHGB - Hak Guna Bangunan
1900000000,Sleman,136,126,4,4,3500,Lengkap,1,SHM - Sertifikat Hak Milik
850000000,Sleman,90,129,4,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3000000000,Yogyakarta,200,215,7,5,2200,Sebagian,1,SHM - Sertifikat Hak Milik
7500000000,Yogyakarta,600,585,10,10,11000,Tak Berperabot,4,SHM - Sertifikat Hak Milik
